awc_code,awc_name,lat,lon,awc_alpha_code,dist_code
" ""29572010101""",Bhovi Colony (Anekal)," ""12.710928"""," ""77.69807"""," ""E""","""572"""
" ""29572010102""",A. K Colony (Anekal)," ""12.71402"""," ""77.69102"""," ""E""","""572"""
" ""29572010103""",Maratha Beedi (Anekal)," ""12.714635"""," ""77.69507"""," ""E""","""572"""
" ""29572010104""",Nagarthara Pete (Anekal)," ""12.711307"""," ""77.69154"""," ""E""","""572"""
" ""29572010105""",A. D Colony (Anekal)," ""12.711177"""," ""77.69628"""," ""E""","""572"""
" ""29572010106""",Shaneshwara Temple (Anekal)," ""12.717156"""," ""77.69371"""," ""E""","""572"""
" ""29572010107""",Sipayigalli (Anekal)," ""12.71095"""," ""77.69475"""," ""E""","""572"""
" ""29572010108""",M .m Road (Anekal)," ""12.710392"""," ""77.695984"""," ""E""","""572"""
" ""29572010109""",Pasavala Pete (Anekal)," ""12.712954"""," ""77.69027"""," ""E""","""572"""
" ""29572010110""",Subhasha Nagar (Anekal)," ""12.7102785"""," ""77.700874"""," ""E""","""572"""
" ""29572010111""",Doddabeedi (Anekal)," ""12.712042"""," ""77.69353"""," ""E""","""572"""
" ""29572010112""",Baragooru Pete (Anekal)," ""12.711438"""," ""77.69216"""," ""E""","""572"""
" ""29572010113""",Bidaragere Raste (Anekal)," ""12.710615"""," ""77.701866"""," ""E""","""572"""
" ""29572010114""",Byadarapete (Anekal)," ""12.713756"""," ""77.69034"""," ""E""","""572"""
" ""29572010115""",Narayanappa Layout (Anekal)," ""12.713355"""," ""77.69685"""," ""E""","""572"""
" ""29572010116""",Ullithigalara Beedi (Anekal)," ""12.713101"""," ""77.69158"""," ""E""","""572"""
" ""29572010117""",Vinayaka Nagar (Anekal)," ""12.712263"""," ""77.697525"""," ""E""","""572"""
" ""29572010118""",Nallappa Layout (Anekal)," ""12.713455"""," ""77.7004"""," ""E""","""572"""
" ""29572010119""",Gowrenahalli-a (Anekal)," ""12.719584"""," ""77.678955"""," ""E""","""572"""
" ""29572010120""",Gowrenahalli-b (Anekal)," ""12.719642"""," ""77.67894"""," ""E""","""572"""
" ""29572010121""",Gowrenahalli-c (Anekal)," ""12.72134"""," ""77.680176"""," ""E""","""572"""
" ""29572010122""",A. Medihalli (Anekal)," ""12.714477"""," ""77.67716"""," ""E""","""572"""
" ""29572010123""",Badarahalli (Anekal)," ""12.7092"""," ""77.677475"""," ""E""","""572"""
" ""29572010124N""",vishveswaraiah Badavane (Anekal)," ""12.712723"""," ""77.689476"""," ""E""","""572"""
" ""29572010201""",Kumvempunagara -a (Anekal)," ""12.698023"""," ""77.711586"""," ""E""","""572"""
" ""29572010202""",Kumvempunagara -b (Anekal)," ""12.700508"""," ""77.711876"""," ""E""","""572"""
" ""29572010203""",Gudnahalli (Anekal)," ""12.689635"""," ""77.72423"""," ""E""","""572"""
" ""29572010204""",Geratiganabele (Anekal)," ""12.679875"""," ""77.73272"""," ""E""","""572"""
" ""29572010205""",Hompalaghatta (Anekal)," ""12.695287"""," ""77.699165"""," ""E""","""572"""
" ""29572010206""",S Thimmasandara (Anekal)," ""12.706621"""," ""77.75477"""," ""E""","""572"""
" ""29572010207""",S Madivalla (Anekal)," ""12.711603"""," ""77.75891"""," ""E""","""572"""
" ""29572010208""",Submangala (Anekal)," ""12.699266"""," ""77.73161"""," ""E""","""572"""
" ""29572010209""",Muttugatti (Anekal)," ""12.702626"""," ""77.72067"""," ""E""","""572"""
" ""29572010210""",S Gandhinagara (Anekal)," ""12.708845"""," ""77.74593"""," ""E""","""572"""
" ""29572010211""",Channena Agrahara (Anekal)," ""12.705813"""," ""77.74004"""," ""E""","""572"""
" ""29572010212""",Samanduru (Anekal)," ""12.71524"""," ""77.75286"""," ""E""","""572"""
" ""29572010213""",Muttugatti Jantha Colony (Anekal)," ""12.699121"""," ""77.715294"""," ""E""","""572"""
" ""29572010214""",Kempegowda Nagara (Anekal)," ""12.691477"""," ""77.72982"""," ""E""","""572"""
" ""29572010215""",Maranayakanahalli (Anekal)," ""12.722035"""," ""77.76865"""," ""E""","""572"""
" ""29572010216""",Weavers Colony (Anekal)," ""12.706262"""," ""77.69805"""," ""E""","""572"""
" ""29572010217""",Narayaanapura (Anekal)," ""12.702325"""," ""77.693596"""," ""E""","""572"""
" ""29572010218""",Ameerjan Road (Anekal)," ""12.695287"""," ""77.699165"""," ""E""","""572"""
" ""29572010219""",Bahaddurupura (Anekal)," ""12.703087"""," ""77.70111"""," ""E""","""572"""
" ""29572010220""",Thimmarayaswamy Temple Road (Anekal)," ""12.70445"""," ""77.70224"""," ""E""","""572"""
" ""29572010221""",Ashraya Janatha Colony (Anekal)," ""12.6915245"""," ""77.71206"""," ""E""","""572"""
" ""29572010222""",Bayasabi Layout (Anekal)," ""12.707083"""," ""77.70119"""," ""E""","""572"""
" ""29572010223""",Shankar Layout (Anekal)," ""12.7026415"""," ""77.70205"""," ""E""","""572"""
" ""29572010224""",Narayana Swamy Layout (Anekal)," ""12.709992"""," ""77.70251"""," ""E""","""572"""
" ""29572010301""",Munivenkatappa Layout (Anekal)," ""12.718302"""," ""77.700195"""," ""E""","""572"""
" ""29572010302""",Malligamma Layout (Anekal)," ""12.712435"""," ""77.70635"""," ""E""","""572"""
" ""29572010303""",Rajanna Layout (Anekal)," ""12.713832"""," ""77.70234"""," ""E""","""572"""
" ""29572010304""",Byagadadenahalli (Anekal)," ""12.751784"""," ""77.7023"""," ""E""","""572"""
" ""29572010305""",Koonmadiwala (Anekal)," ""12.750414"""," ""77.69299"""," ""E""","""572"""
" ""29572010306""",Doddahagade (Anekal)," ""12.745808"""," ""77.689384"""," ""E""","""572"""
" ""29572010307""",Kempodarahalli (Anekal)," ""12.740443"""," ""77.68498"""," ""E""","""572"""
" ""29572010308""",Soppahalli (Anekal)," ""12.747143"""," ""77.67958"""," ""E""","""572"""
" ""29572010309""",Yallammanapalya (Anekal)," ""12.751417"""," ""77.68259"""," ""E""","""572"""
" ""29572010310""",Avadadenahalli (Anekal)," ""12.747011"""," ""77.71069"""," ""E""","""572"""
" ""29572010311""",Thatnahally (Anekal)," ""12.745653"""," ""77.727516"""," ""E""","""572"""
" ""29572010312""",Chikkahagade (Anekal)," ""12.735531"""," ""77.70053"""," ""E""","""572"""
" ""29572010313""",Kammasandra Agrahara (Anekal)," ""12.742817"""," ""77.70202"""," ""E""","""572"""
" ""29572010314""",Kavalahosahalli (Anekal)," ""12.7289505"""," ""77.7071"""," ""E""","""572"""
" ""29572010315""",Kavalahosahalli B (Anekal)," ""12.723729"""," ""77.70379"""," ""E""","""572"""
" ""29572010316""",Doddakerebagilu (Anekal)," ""12.710243"""," ""77.68911"""," ""E""","""572"""
" ""29572010317""",Sudhama Nagara (Anekal)," ""12.715388"""," ""77.70761"""," ""E""","""572"""
" ""29572010318""",Thigalarabeedi (Anekal)," ""12.708925"""," ""77.689766"""," ""E""","""572"""
" ""29572010319""",Ayodhya Nagara (Anekal)," ""12.703538"""," ""77.69719"""," ""E""","""572"""
" ""29572010320""",Kumbarapete (Anekal)," ""12.70828"""," ""77.69346"""," ""E""","""572"""
" ""29572010321""",Pump House (Anekal)," ""12.715872"""," ""77.70313"""," ""E""","""572"""
" ""29572010322""",Muttugatti Cross (Anekal)," ""12.703878"""," ""77.70434"""," ""E""","""572"""
" ""29572010323""",Indira Nagar (Anekal)," ""12.707232"""," ""77.69808"""," ""E""","""572"""
" ""29572010324N""",Narayanappa Janatha Colony (Anekal)," ""12.705009"""," ""77.69796"""," ""E""","""572"""
" ""29572010401""",Kadujakkanahalli (Anekal)," ""12.73814"""," ""77.63492"""," ""E""","""572"""
" ""29572010402""",Thammanayakanahalli (Anekal)," ""12.699325"""," ""77.641655"""," ""E""","""572"""
" ""29572010403""",Karakalagatta (Anekal)," ""12.705214"""," ""77.64923"""," ""E""","""572"""
" ""29572010404""",Indlawadi-a (Anekal)," ""12.728648"""," ""77.638435"""," ""E""","""572"""
" ""29572010405""",Indlawadi-b (Anekal)," ""12.730468"""," ""77.63769"""," ""E""","""572"""
" ""29572010406""",Indlawadipura (Anekal)," ""12.715627"""," ""77.64046"""," ""E""","""572"""
" ""29572010407""",Choodalli (Anekal)," ""12.680194"""," ""77.61428"""," ""E""","""572"""
" ""29572010408""",Lakshmipura (Anekal)," ""12.696226"""," ""77.66076"""," ""E""","""572"""
" ""29572010409""",Chikkahosalli (Anekal)," ""12.704554"""," ""77.64665"""," ""E""","""572"""
" ""29572010410""",Chikkanahalli (Anekal)," ""12.716826"""," ""77.648224"""," ""E""","""572"""
" ""29572010411""",Mysurammanadoddi (Anekal)," ""12.72948"""," ""77.61576"""," ""E""","""572"""
" ""29572010412""",Arehalli (Anekal)," ""12.70037"""," ""77.651146"""," ""E""","""572"""
" ""29572010413""",Bangladoddi (Anekal)," ""12.715291"""," ""77.624146"""," ""E""","""572"""
" ""29572010414""",Nallayanadoddi (Anekal)," ""12.710522"""," ""77.64123"""," ""E""","""572"""
" ""29572010415""",Thimmaiahnadoddi (Anekal)," ""12.733045"""," ""77.606735"""," ""E""","""572"""
