awc_name,lat,lon,awc_code,awc_alpha_code,dist_code
Arabhavi Math (Arbhavi),16.226156,74.81151,29555010101,A,555
Sattigeri Maddi Arabhavi (Arbhavi),16.247942,74.810135,29555010102,A,555
Vitoba Oni Arabhavi (Arbhavi),16.21622,74.821815,29555010103,A,555
Uppar Oni Arabhavi (Arbhavi),16.221523,74.82407,29555010104,A,555
Hattigudda Arabhavi (Arbhavi),16.23059,74.8052,29555010105,A,555
Duradundeshwar Nagar Arabhavi Tot (Arbhavi),16.239357,74.8245,29555010106,A,555
Arabhavi From (Arbhavi),16.230047,74.83663,29555010107,A,555
Aganeppagol Tot Arabhavi (Arbhavi),16.244148,74.804596,29555010108,A,555
Jainar Kodi Arabhavi (Arbhavi),16.23987,74.79421,29555010109,A,555
Vaddar Oni Arabhavi (Arbhavi),16.22088,74.82106,29555010110,A,555
Badiger Oni Arabhavi (Arbhavi),16.222685,74.82427,29555010111,A,555
Indira Nagar Arabhavi (Arbhavi),16.219452,74.81998,29555010112,A,555
Chikkodi Oni Sangankeri (Arbhavi),16.23641,74.84551,29555010113,A,555
Sampagnvi Oni Sangankeri (Arbhavi),16.236507,74.845566,29555010114,A,555
Vaddar Oni Sangankeri (Arbhavi),16.23395,74.842545,29555010115,A,555
Malyagol Tot Sangankeri (Arbhavi),16.234644,74.852135,29555010116,A,555
Katri Tot Pamaladinni Cross Badigwad (Arbhavi),16.261225,74.770485,29555010117,A,555
Near Karemmadevi Tempale Badigwad (Arbhavi),16.272106,74.789764,29555010118,A,555
Batti Oni Badigwad (Arbhavi),16.272512,74.78936,29555010119,A,555
Near Hanuman Tempale Badigwad (Arbhavi),16.272818,74.790215,29555010120,A,555
Kuddemmi Tot Badigwad (Arbhavi),16.26273,74.78335,29555010121,A,555
Mathad Oni Durdundi (Arbhavi),16.261389,74.811806,29555010122,A,555
Near Primary School Durdundi (Arbhavi),16.259228,74.813866,29555010123,A,555
Goudigol Oni Duradundi (Arbhavi),16.259033,74.81014,29555010124,A,555
